docid,entityid,type
350,Alzheimer'S Disease Clinical Trial,Topic
350,Alejandro Schuler,Author
350,David Walsh,Author
350,Diana Hall,Author
350,Jon Walsh,Author
350,Charles Fisher,Author
351,Pico Span Detection,Topic
351,Shifeng Liu,Author
351,Yifang Sun,Author
351,Bing Li,Author
351,Wei Wang,Author
351,Florence T. Bourgeois,Author
351,Adam G. Dunn,Author
351,Sent2Span: Span Detection For Pico Extraction In The Biomedical Text Without Span Annotations,Paper
352,A Bayesian Precision Response-Adaptive Phase Ii Clinical Trial Design For Radiotherapies With Competing Risk Survival Outcomes,Paper
352,Radiotherapy,Topic
352,Competing Risk Survival Outcomes,Topic
353,Factive,Topic
353,Cornelia Dunger-Baldauf,Author
353,Rob Hemmings,Author
353,Frank Bretz,Author
353,Byron Jones,Author
353,Anja Schiel,Author
353,Chris Holmes,Author
353,Hta,Topic
354,Broadening Eligibility Criteria In Cancer Trials,Topic
354,Precision Dose-Finding Design,Topic
354,Phase I Cancer Clinical Trials,Topic
354,Rebecca B. Silva,Author
354,Bin Cheng,Author
354,Richard D. Carvajal,Author
354,Shing M. Lee,Author
355,Precision Medicine,Topic
355,Individual Heterogeneity,Topic
355,Clinical Practice,Topic
355,Treatment Effect Heterogeneity,Topic
355,Statistical Methods,Topic
355,Patient Stratification,Topic
355,Multi-Arm Trial,Topic
355,Bayesian Nonparametric Framework,Topic
355,Bayesian Additive Regression Trees (Bart),Topic
355,Bayesian Profile Regression,Topic
355,Variable Selection Procedure,Topic
355,Simulation Studies,Topic
355,Uk-Based Multi-Arm Blood Donation Trial,Topic
355,Yuejia Xu,Author
355,Angela M. Wood,Author
355,Brian D. M. Tom,Author
356,Rct,Topic
356,Cross-Over Trial,Topic
356,Secrets,Topic
356,Synthetic Intervention,Topic
356,Sayeri Lala,Author
356,Niraj K. Jha,Author
357,Biomarker-Guided Clinical Trials,Topic
357,Precision Medicine,Topic
357,Mixture Distributions,Topic
357,Detest,Topic
357,Hong Zhang,Author
357,Jie Pu,Author
357,Shibing Deng,Author
357,Satrajit Roychoudhury,Author
357,Haitao Chu,Author
357,Douglas Robinson,Author
358,Kaplan-Meier Analysis,Topic
358,Chauhan Weighted Trajectory Analysis,Topic
358,Progression Free Survival,Topic
358,Overall Survival,Topic
358,Utkarsh Chauhan,Author
358,Daylen Mackey,Author
358,John R. Mackey,Author
359,Oncology,Topic
359,Phase Ii Trials,Topic
359,Clinical Development Plans,Topic
359,Potent Agents,Topic
359,Short-Term Treatment Efficacy,Topic
359,Response Evaluation Criteria In Solid Tumors,Topic
359,Generalized Bayes' Theorem,Topic
359,Takuya Yoshimoto,Author
359,Satoru Shinoda,Author
359,Kouji Yamamoto,Author
359,Kouji Tahata,Author
360,Mexa-Ctp,Topic
360,Yiqing Zhang,Author
360,Xiaozhong Liu,Author
360,Fabricio Murai,Author
360,Clinical Trials,Topic
360,Deep Learning,Topic
360,Trial Outcome Prediction (Top),Topic
361,Ultrasonic Actuation Of A Fine-Needle Improves Biopsy Yield,Paper
361,Emanuele Perra,Author
361,Eetu Lampsij‰rvi,Author
361,GonÁalo Barreto,Author
361,Muhammad Arif,Author
361,Tuomas Puranen,Author
361,Edward HÊggstrˆm,Author
361,Kenneth P. H. Pritzker,Author
361,Heikki J. Nieminen,Author
361,Sonolancet,Topic
362,Baysize,Topic
362,Xiaolei Lin,Author
362,Jiaying Lyu,Author
362,Shijie Yuan,Author
362,Sue-Jane Wang,Author
362,Yuan Ji,Author
363,Treatments For Pregestational Chronic Conditions During Pregnancy: Emulating A Target Trial With A Treatment Decision Design,Paper
363,Mollie E. Wood,Author
363,Chase D. Latour,Author
363,Lucia C. Petito,Author
363,Causal Effects Of Early-Pregnancy Pharmacotherapies On Pregnancy Outcomes,Topic
363,Target Trial,Topic
363,Treatment Decision Design,Topic
363,Antidepressant Use For Pre-Existing Depressive Disorder,Topic
363,Antihypertensive Medication Use For Mild-To-Moderate Chronic Hypertension,Topic
364,Clinical Tools Involving Immersive Virtual Reality,Topic
364,Cognitive Neuroscience,Topic
364,Neuropsychology,Topic
364,American Academy Of Clinical Neuropsychology,Author
364,National Academy Of Neuropsychology,Author
364,Computerized Neuropsychological Assessment Devices,Topic
364,Vr Everyday Assessment Lab,Topic
364,Panagiotis Kourtesis,Author
364,Sarah E. Macpherson,Author
364,Vr-Eal,Topic
365,Statistical Research Regarding Health-Related Quality Of Life (Hrqol),Topic
365,Mixed Models From The Item Response Theory,Topic
365,Generalized Linear Models For Categorical Data,Topic
365,Cancer Clinical Trials,Topic
365,Antoine Barbieri,Author
365,Jean Peyhardi,Author
365,Thierry Conroy,Author
365,Sophie Gourgou,Author
365,Christian Lavergne,Author
365,Caroline Mollevi,Author
366,Count Data And Recurrent Events In Clinical Trials,Topic
366,Negative Binomial Distributions,Topic
366,Group Sequential Designs,Topic
366,Wald Statistics,Topic
366,Maximum Likelihood Estimators,Topic
366,Asymptotic Normal Theory,Topic
366,Student'S T-Distribution,Topic
366,Resampling,Topic
366,Gscounts,Paper
367,Prospective Registration Of Study Protocols In Clinical Trial Registries,Topic
367,Publication Bias,Topic
367,Meta-Analysis,Topic
367,Sensitivity Analysis,Topic
367,Copas Selection Model,Topic
367,Funnel-Plot,Topic
367,Trim-And-Fill Method,Topic
367,Alternative Inference Procedure,Topic
367,Simulation Study,Topic
367,Clinical Trial Registries,Topic
367,Ao Huang,Author
367,Sho Komukai,Author
367,Tim Friede,Author
367,Satoshi Hattori,Author
368,Covid-19,Topic
368,Oncology Clinical Trials,Topic
368,Estimand Framework,Topic
368,Evgeny Degtyarev,Author
368,Kaspar Rufibach,Author
368,Yue Shentu,Author
368,Godwin Yung,Author
368,Michelle Casey,Author
368,Stefan Englert,Author
368,Feng Liu,Author
368,Yi Liu,Author
368,Oliver Sailer,Author
368,Jonathan Siegel,Author
368,Steven Sun,Author
368,Rui Tang,Author
368,Jiangxiu Zhou,Author
369,Combining Experimental And Observational Follow-Up Datasets,Topic
369,Long-Term Effect Estimation When Combining Clinical Trial And Observational Follow-Up Datasets,Paper
370,Concept Normalization,Topic
370,Text-Mining Pipeline,Topic
370,Bidirectional Encoder Representations From Transformers (Bert),Topic
370,Biomedical Domain,Topic
370,Drug Discovery And Development,Topic
370,Clinical Trials,Topic
370,Zulfat Miftahutdinov,Author
370,Artur Kadurin,Author
370,Roman Kudrin,Author
370,Elena Tutubalina,Author
370,Two-Stage Neural Approach,Topic
370,Metric Learning Model,Topic
370,Triplet Loss,Topic
370,Vector Embeddings,Topic
370,Embedding Space,Topic
370,Dataset Of Abstracts,Topic
370,Real-World Dataset Of Trial Records,Topic
370,Drug And Disease Terminologies,Topic
370,Knowledge Transfer,Topic
371,Using Targeted Maximum Likelihood Estimation To Estimate Treatment Effect With Longitudinal Continuous Or Binary Data: A Systematic Evaluation Of 28 Diabetes Clinical Trials,Paper
371,Lingjing Jiang,Author
371,Michael Rosenblum,Author
371,Yu Du,Author
371,Diabetes Clinical Trials,Topic
371,Mmrm,Topic
371,Glmm,Topic
371,Tmle,Topic
371,Longitudinal Continuous Outcome,Topic
371,Longitudinal Binary Outcome,Topic
371,Average Treatment Effect,Topic
371,Missing Data Scenarios,Topic
371,Real Data Sets,Topic
371,Cumbersome Covariance Fitting Procedure,Topic
372,Confirmatory Clinical Trials,Topic
372,Survival Outcomes,Topic
372,Interim Analyses,Topic
372,Log Rank Test,Topic
372,Cox Regression Model,Topic
372,Proportional Hazards Assumption,Topic
372,Type I Error Rate,Topic
372,Loss Of Power,Topic
372,Immunotherapy,Topic
372,Chemotherapy,Topic
372,Group Sequential Tests,Topic
372,Survival Curves,Topic
372,Covariate Adjustment,Topic
372,Test Statistics,Topic
372,Marginal Comparisons,Topic
372,Clinical Trial Dataset,Topic
372,Blood And Marrow Transplant Clinical Trials Network 1101 Trial,Topic
372,Peter Zhang,Author
372,Brent Logan,Author
372,Michael Martens,Author
373,Alpapico: Extraction Of Pico Frames From Clinical Trial Documents Using Llms,Paper
373,Madhusudan Ghosh,Author
373,Shrimon Mukherjee,Author
373,Asmit Ganguly,Author
373,Partha Basuchowdhuri,Author
373,Sudip Kumar Naskar,Author
373,Debasis Ganguly,Author
373,Pico,Topic
373,Clinical Trial Documents,Topic
373,Large Language Models,Topic
373,In-Context Learning,Topic
373,Instruction Tuning,Topic
373,Low Rank Adaptation,Topic
373,Ebm-Nlp Datasets,Topic
374,Fragility Index For Time-To-Event Endpoints In Single-Arm Clinical Trials,Paper
374,Arnab Kumar Maity,Author
374,Jhanvi Garg,Author
374,Cynthia Basu,Author
375,A Simple Cellular Automaton Model For Influenza A Viral Infections,Paper
375,Catherine Beauchemin,Author
375,John Samuel,Author
375,Jack Tuszynski,Author
375,Viral Kinetics,Topic
375,Influenza A,Topic
376,Natural Igm Autoantibodies,Topic
376,Systemic Lupus Erythematosus (Sle),Topic
376,Igm Responses,Topic
376,Hla-Drb1*03,Topic
376,Cardiovascular Disease,Topic
376,Caroline Gronwall,Author
376,Uta Hardt,Author
376,Johanna T. Gustafsson,Author
376,Kerstin Elvin,Author
376,Kerstin Jensen-Urstad,Author
376,Marika Kvarnstrom,Author
376,Giorgia Grosso,Author
376,Johan Ronnelid,Author
376,Leonid Padyukov,Author
376,Iva Gunnarsson,Author
376,Gregg J. Silverman,Author
376,Elisabet Svenungsson,Author
377,Head And Neck Squamous Cell Carcinoma,Topic
377,Alcohol,Topic
377,Tobacco,Topic
377,Human Papillomavirus,Topic
377,Hpv Status,Topic
377,Triplet-Ranking Loss Function,Topic
377,Multiple Instance Learning Pipeline,Topic
377,Hpv Detection,Topic
377,Tumour Microenvironment Profiling,Topic
377,T Cells,Topic
377,Macrophages,Topic
377,Fibroblast,Topic
377,Gene Expression Profiles,Topic
377,Ruoyu Wang,Author
377,Syed Ali Khurram,Author
377,Amina Asif,Author
377,Lawrence Young,Author
377,Nasir Rajpoot,Author
378,Model-Based Recursive Partitioning (Mob),Topic
378,Subgroup Identification,Topic
378,Metamob,Topic
378,Generalized Mixed-Effects Model Tree (Glmm Tree),Topic
378,Randomized Controlled Clinical Trials,Topic
378,Cynthia Huber,Author
378,Norbert Benda,Author
378,Tim Friede,Author
379,Vaccine Efficacy For Binary Post-Infection Outcomes Under Misclassification Without Monotonicity,Paper
379,Regulatory Approval,Topic
379,Pharmaceutical Companies,Topic
379,Vaccines,Topic
379,Principal Stratification,Topic
379,Causal Effect,Topic
379,Vaccine Efficacy,Topic
379,Clinical Trial Settings,Topic
379,Measurement Error,Topic
379,Multi-Arm Clinical Trials,Topic
380,Oncology Dose Finding Using Approximate Bayesian Computation Design,Paper
381,Information-Adaptive Clinical Trials: A Selective Recruitment Design,Paper
381,Clinical Trials,Topic
381,Time-To-Event Outcomes,Topic
381,Covariates,Topic
381,Biomarkers,Topic
381,Proportional Hazards Model,Topic
381,Expected Entropy,Topic
381,German Breast Cancer Study Group,Topic
381,Biomarker Validation Trial,Topic
382,Combining Survival Trials Using Aggregate Data Based On Misspecified Models,Paper
383,Stopped Negative Binomial Distribution,Topic
383,Michelle Deveaux,Author
383,Michael J. Kane,Author
383,Daniel Zelterman,Author
384,Selective Recruitment Designs,Topic
384,Information-Adaptive Design,Topic
384,Statistical Information Methods,Topic
384,James E. Barrett,Author
385,Aaa,Topic
385,Jiaying Lyu,Author
385,Yuan Ji,Author
385,Naiqing Zhao,Author
385,Daniel V. T. Catenacci,Author
386,Power Priors Based On Multiple Historical Studies For Binary Outcomes,Paper
386,Clinical Trial,Topic
386,Antibiotics,Topic
386,Empirical Bayes,Topic
386,Bayesian Approaches,Topic
386,Historical Trials,Topic
386,Drug Resistant Infections,Topic
387,Optimizing Interim Analysis Timing For Bayesian Adaptive Commensurate Designs,Paper
387,Xiao Wu,Author
387,Yi Xu,Author
387,Bradley P. Carlin,Author
388,Recruitment Prediction Framework,Topic
388,Szymon Urbas,Author
388,Chris Sherlock,Author
388,Paul Metcalfe,Author
388,Inhomogeneous Poisson Process,Topic
389,Covid-19 Pandemic,Topic
389,Statistical Issues And Recommendations For Clinical Trials Conducted During The Covid-19 Pandemic,Paper
390,Survival Analysis Under Non-Proportional Hazards: Investigating Non-Inferiority Or Equivalence In Time-To-Event Data,Paper
390,Kaplan-Meier Curves,Topic
390,Hazard Ratio,Topic
390,Log-Rank Test,Topic
390,Cox Proportional Hazard Model,Topic
390,Non-Proportional Hazards,Topic
390,Equivalence Trials,Topic
390,Non-Inferiority Trials,Topic
390,Parametric Framework,Topic
390,Pointwise Confidence Bands,Topic
390,Test Procedure,Topic
390,Clinical Trial Example,Topic
390,Simulation Results,Topic
391,Identifying Heterogeneous Treatment Effects In Randomized Controlled Trials,Topic
391,Erin Craig,Author
391,Donald A Redelmeier,Author
391,Robert J Tibshirani,Author
392,Bayesian Prognostic Covariate Adjustment,Topic
392,David Walsh,Author
392,Alejandro Schuler,Author
392,Diana Hall,Author
392,Jon Walsh,Author
392,Charles Fisher,Author
393,Bnt162B2 Mrna Covid-19 Vaccine Trial,Topic
393,Bayesian Design And Analysis,Topic
393,Bayesian Statistics,Topic
393,Bayesian Credible Intervals,Topic
393,Confidence Intervals,Topic
393,Posterior Probabilities,Topic
393,Yuan Ji,Author
393,Shijie Yuan,Author
393,Regulatory Decision Making,Topic
393,Bi,Topic
393,Ci,Topic
393,Lessons Learned From The Bayesian Design And Analysis For The Bnt162B2 Covid-19 Vaccine Phase 3 Trial,Paper
394,Multi-Armed Bandits,Topic
394,Model-Assisted Designs,Topic
394,Dose-Finding Clinical Trials,Topic
394,Thompson Sampling,Topic
394,Regularized Thompson Sampling,Topic
394,Greedy Algorithm,Topic
394,Posterior Mean,Topic
394,Posterior Median,Topic
394,Masahiro Kojima,Author
394,Simulation Studies,Topic
395,Priors From Envisioned Posterior Judgments: A Novel Elicitation Approach With Application To Bayesian Clinical Trials,Paper
395,Yongdong Ouyang,Author
395,Janice J Eng,Author
395,Denghuang Zhan,Author
395,Hubert Wong,Author
396,Multiple Sclerosis,Topic
396,Andy A. Shen,Author
396,Aidan Mcloughlin,Author
396,Zoe Vernon,Author
396,Jonathan Lin,Author
396,Richard A. D. Carano,Author
396,Peter J. Bickel,Author
396,Zhuang Song,Author
396,Haiyan Huang,Author
397,Handling Covariates In The Design Of Clinical Trials,Paper
397,Covariate-Adjusted Response-Adaptive Randomization,Topic
397,Clinical Trial Design,Topic
397,Stratification And Covariate-Adaptive Randomization,Topic
398,Hypothesis Tests Based On Linear Models,Topic
398,Organizations That Regulate Clinical Trials,Topic
398,Parametric Distributions,Topic
398,Permutation Tests,Topic
398,Analysis Of Covariance (Ancova),Topic
398,Linear Regression,Topic
398,Pretreatment Covariates,Topic
398,Kellie Ottoboni,Author
398,Fraser Lewis,Author
398,Luigi Salmaso,Author
398,Gastroesophageal Reflux Disease,Topic
398,An Empirical Comparison Of Parametric And Permutation Tests For Regression Analysis Of Randomized Experiments,Paper
399,Quantifying And Detecting Individual Level 'Always Survivor' Causal Effects Under 'Truncation By Death' And Censoring Through Time,Paper
399,Jaffer M. Zaidi,Author
399,Eric J. Tchetgen Tchetgen,Author
399,Tyler J. Vanderweele,Author
400,Clinical Trial Records,Topic
400,Patients,Topic
400,Diseases,Topic
400,Eligibility Criteria,Topic
400,Summary Of Results,Topic
400,Conclusions,Topic
400,Computer-Based Eligibility Query Formulation,Topic
400,Electronic Patient Screening,Topic
400,Previous Research,Topic
400,Knowledge-Guided Text Structuring Framework,Topic
400,Knowledge Base,Topic
400,Word Dependency Relations,Topic
400,Formal Representations,Topic
400,High Precision And Recall,Topic
400,Yingcheng Sun,Author
400,Kenneth Loparo,Author
401,Response Adaptive Randomization,Topic
401,Response Adaptive Block Randomization,Topic
401,Doubly Adaptive Biased Coin Design,Topic
401,Tianyu Zhan,Author
401,Lu Cui,Author
401,Ziqian Geng,Author
401,Lanju Zhang,Author
401,Yihua Gu,Author
401,Ivan S. F. Chan,Author
402,Response-Adaptive Randomization,Topic
402,David S. Robertson,Author
402,Kim May Lee,Author
402,Boryana C. Lopez-Kolkovska,Author
402,Sofia S. Villar,Author
402,Clinical Trials,Topic
402,Data-Dependent Sampling Algorithms,Topic
402,Biostatistical Literature,Topic
402,Machine Learning,Topic
403,Randomised Clinical Trial Results,Topic
403,Intercurrent Events,Topic
403,Rescue Medication,Topic
403,Intention-To-Treat Analysis,Topic
403,Estimand,Topic
403,Treatment Effect,Topic
403,Inverse Probability Weighting Method,Topic
403,Sensitivity Analysis,Topic
403,Clinical Trial,Topic
403,Janssen Pharmaceuticals,Author
403,Hege Michiels,Author
403,Cristina Sotto,Author
403,An Vandebosch,Author
403,Stijn Vansteelandt,Author
404,Semeval-2023 Task 7,Topic
404,Juraj Vladika,Author
404,Florian Matthes,Author
404,Nlp Solutions,Topic
404,Clinical Trial Reports,Topic
404,Evidence Retrieval,Topic
404,Natural Language Inference,Topic
404,Pipeline System,Topic
404,Joint System,Topic
404,Ensemble System,Topic
405,Stratification In Randomized Clinical Trials,Topic
405,Neal Thomas,Author
405,Misclassification Errors,Topic
405,Corrected Values,Topic
405,Likelihood Function,Topic
405,Standard Errors,Topic
405,Unbiased Linear Estimation,Topic
405,Confidence Interval Coverage,Topic
406,Heterogeneous Treatment Effects,Topic
406,Randomized Clinical Trials,Topic
406,Richard Berk,Author
406,Matthew Olson,Author
406,Andreas Buja,Author
406,Aurelie Ouss,Author
406,Using Recursive Partitioning To Find And Estimate Heterogenous Treatment Effects In Randomized Clinical Trials,Paper
407,A Simulation Study Evaluating Phase I Clinical Trial Designs For Combinational Agents,Paper
407,Shu Wang,Author
407,Ji-Hyun Lee,Author
407,Phase I Clinical Trial Designs,Topic
408,Bayesian Optimization,Topic
408,Clinical Trials,Topic
408,Design Selection Process,Topic
408,Adaptive Seamless Designs,Topic
408,Jakob Richter,Author
408,Tim Friede,Author
408,Jˆrg Rahnenf¸hrer,Author
409,The Predictive Individual Effect For Survival Data,Paper
409,Beat Neuenschwander,Author
409,Satrajit Roychoudhury,Author
409,Simon Wandel,Author
409,Kannan Natarajan,Author
409,Emmanuel Zuber,Author
409,Patient-Focused Drug Development,Topic
409,Oncology Trials,Topic
410,Statistical Modelling And Prediction Of Patient Recruitment In Clinical Trials,Paper
410,Vladimir Anisimov,Author
410,Guillaume Mijoule,Author
410,Armando Turchetta,Author
410,Nicolas Savy,Author
410,Poisson-Gamma Model,Topic
410,Dropout Process,Topic
410,Recruitment Forecasting,Topic
411,Missing Data Imputation For A Multivariate Outcome Of Mixed Variable Types,Paper
411,Tuo Wang,Author
411,Rachel Zilinskas,Author
411,Ying Li,Author
411,Yongming Qu,Author
412,Unimib Team,Topic
412,Trec 2021 Clinical Trials Track,Topic
412,Georgios Peikos,Author
412,Oscar Espitia,Author
412,Gabriella Pasi,Author
412,Neural Re-Ranking Approach,Topic
412,Dense Text Representations,Topic
412,Decision-Theoretic Model,Topic
412,Relevance Estimation,Topic
412,Keyword Extraction Method,Topic
412,Bm25 Model,Topic
412,Ndcg@10,Topic
412,Rpec@10,Topic
413,Mixed Model Repeated Measures (Mmrm),Topic
413,Constrained Longitudinal Data Analysis,Topic
413,Natural Cubic Splines,Topic
413,Alzheimer'S Disease,Topic
413,M. C. Donohue,Author
413,O. Langford,Author
413,P. Insel,Author
413,C. H. Van Dyck,Author
413,R. C. Petersen,Author
413,S. Craft,Author
413,G. Sethuraman,Author
413,R. Raman,Author
413,P. S. Aisen,Author
414,Modern Approaches For Evaluating Treatment Effect Heterogeneity From Clinical Trials And Observational Data,Paper
414,Ilya Lipkovich,Author
414,David Svensson,Author
414,Bohdana Ratitch,Author
414,Alex Dmitrienko,Author
415,Non-Proportional Hazards,Topic
415,Clinical Trials,Topic
415,Time-To-Event Endpoints,Topic
415,Immunotherapy For Cancer,Topic
415,Group Sequential Design,Topic
415,Average Hazard Ratio,Topic
415,Weighted Logrank Test,Topic
415,Maxcombo Combination Test,Topic
415,Gsdesign2 R Package,Topic
415,Yujie Zhao,Author
415,Yilong Zhang,Author
415,Larry Leon,Author
415,Keaven M. Anderson,Author
416,Large Language Models,Topic
416,Conversational Ai,Topic
416,Content Generation,Topic
416,Information Retrieval,Topic
416,Business Intelligence,Topic
416,Medical,Topic
416,Clinical Trials,Topic
416,Shortcut Learning,Topic
416,Factual Inconsistency,Topic
416,Performance Degradation,Topic
416,Adversarial Testing,Topic
416,Robust Testing,Topic
416,Ambiguity,Topic
416,Reasoning Integrity,Topic
416,Syntactic Understanding,Topic
416,Semantic Understanding,Topic
416,Mnestic Probing,Topic
416,Sci-Five Model,Topic
416,Natural Logic,Topic
416,Task Specific Probes,Topic
416,Iterative Null Projection,Topic
416,Model Accuracy,Topic
416,Probe Size,Topic
416,Ata Mustafa,Author
416,Enhancing Robustness In Biomedical Nli Models: A Probing Approach For Clinical Trials,Paper
417,Large Language Models,Topic
417,Natural Language Processing,Topic
417,Natural Language Inference,Topic
417,Breast Cancer Clinical Trial Reports,Topic
417,Semeval 2024 Task 2,Topic
417,Retrieval-Augmented Generation,Topic
417,Iitk,Author
417,Shreyasi Mandal,Author
417,Ashutosh Modi,Author
417,Gpt-3.5,Paper
417,Gemini Pro,Paper
417,Evaluation Results,Topic
418,Considerations For Single-Arm Trials To Support Accelerated Approval Of Oncology Drugs,Paper
418,Feinan Lu,Author
418,Tao Wang,Author
418,Ying Lu,Author
418,Jie Chen,Author
419,Large Language Models In Drug Discovery And Development: From Disease Mechanisms To Clinical Trials,Paper
419,Yizhen Zheng,Author
419,Huan Yee Koh,Author
419,Maddie Yang,Author
419,Li Li,Author
419,Lauren T. May,Author
419,Geoffrey I. Webb,Author
419,Shirui Pan,Author
419,George Church,Author
419,Computational Biology,Topic
419,Pharmacology,Topic
419,Ai4Science,Topic
419,Drug Discovery,Topic
419,Drug Development,Topic
419,Disease Mechanisms,Topic
419,Clinical Trials,Topic
420,Randomized Clinical Trials,Topic
420,Observational Studies,Topic
420,Sensitivity Analysis,Topic
420,Synthesis Estimator,Topic
420,Average Treatment Effect,Topic
420,Kuan Jiang,Author
420,Wenjie Hu,Author
420,Shu Yang,Author
420,Xinxing Lai,Author
420,Xiaohua Zhou,Author
420,Improve Sensitivity Analysis Synthesizing Randomized Clinical Trials With Limited Overlap,Paper
421,G-Estimation,Topic
421,Intercurrent Events,Topic
421,Ich E9(R1) Addendum,Topic
421,Alzheimer Disease,Topic
421,Florian Lasch,Author
421,Lorenzo Guizzaro,Author
421,Wen Wei Loh,Author
422,Pattern-Mixture Models,Topic
422,Treatment Effects,Topic
422,Clinical Trials,Topic
422,Nonignorable Missing Data,Topic
422,Multiple Imputation,Topic
422,Rubin'S Approach,Topic
422,Bootstrap Methods,Topic
422,Direct Likelihood-Based Approaches,Topic
422,Analytical Framework,Topic
422,Return-To-Baseline,Topic
422,Jump-To-Reference,Topic
422,Placebo Washout,Topic
422,Retrieved Dropout Imputations,Topic
422,Tipping Point Analysis,Topic
422,Simulation Studies,Topic
422,Clinical Trial Evaluating A Treatment For Type 2 Diabetes,Topic
422,Jitong Lou,Author
422,Mallikarjuna Rettiganti,Author
422,Yongming Qu,Author
422,Direct Estimation For Commonly Used Pattern-Mixture Models In Clinical Trials,Paper
423,Pkg2.0,Topic
423,Biomedical Literature,Topic
423,Jian Xu,Author
423,Chao Yu,Author
423,Jiawei Xu,Author
423,Ying Ding,Author
423,Vetle I. Torvik,Author
423,Jaewoo Kang,Author
423,Mujeen Sung,Author
423,Min Song,Author
424,Neurodegenerative Disorders,Topic
424,Alzheimer'S Disease,Topic
424,Longitudinal Rank Sum Test,Topic
424,Xiaoming Xu,Author
424,Dhrubajyoti Ghosh,Author
424,Sheng Luo,Author
424,A Novel Longitudinal Rank-Sum Test For Multiple Primary Endpoints In Clinical Trials: Applications To Neurodegenerative Disorders,Paper
425,G-Computation For Increasing Performances Of Clinical Trials With Individual Randomization And Binary Response,Paper
425,Clinical Trials,Topic
425,Machine Learning,Topic
425,Penalized Regressions,Topic
425,Algorithm-Based Methods,Topic
426,Sparsevm,Topic
426,3D Mr Scans,Topic
426,Voxelmorph Package,Topic
426,Kathleen M. Lewis,Author
426,Natalia S. Rost,Author
426,John Guttag,Author
426,Adrian V. Dalca,Author
427,Multi-Arm Multi-Stage Trial,Topic
427,Allocation Ratio,Topic
427,Optimal Allocation Ratio,Topic
427,Martin Law,Author
428,Leafai,Topic
428,Nicholas J Dobbins,Author
428,Bin Han,Author
428,Weipeng Zhou,Author
428,Kristine Lan,Author
428,H. Nina Kim,Author
428,Robert Harrington,Author
428,Ozlem Uzuner,Author
428,Meliha Yetisgen,Author
428,Clinical Trials,Topic
429,Sex Differences In Severity And Mortality Among Patients With Covid-19: Evidence From Pooled Literature Analysis And Insights From Integrated Bioinformatic Analysis,Paper
429,Covid-19,Topic
430,Bapofi,Topic
430,Bapofi-Tte,Topic
430,Satoshi Morita,Author
430,Peter M¸ller,Author
430,Hiroyasu Abe,Author
430,Biometrics,Topic
431,Monte Carlo Simulations Of Stroke,Topic
431,3D Stroke Simulations,Topic
431,James P. Hague,Author
431,Jonathan Keelan,Author
431,Lucy Beishon,Author
431,David Swienton,Author
431,Thompson G. Robinson,Author
431,Emma M. L. Chung,Author
431,In-Silico Trials,Topic
431,Probabilistic Lesion Overlap Maps,Topic
431,Equation For Sizing Emboli,Topic
432,Misclassification Of Vaccination Status In Electronic Health Records: A Bayesian Approach In Cluster Randomized Trials,Paper
432,Misclassification,Topic
432,Public Health,Topic
432,Vaccinations,Topic
432,Cluster Controlled Randomized Trial (Ccrt),Topic
432,Bayesian Logistic Regression,Topic
432,Behavioral Intervention,Topic
432,Vaccination Uptake,Topic
432,U.S. Veterans,Topic
433,Clinical Trials,Topic
433,Volodymyr Anisimov,Author
433,Lucas Oliver,Author
433,Poisson-Gamma Model,Topic
433,Patient Recruitment,Topic
433,Time-Dependent Rates,Topic
433,Homogeneity Testing,Topic
433,Analytic Methodology,Topic
434,Cure Proportion Model,Topic
434,Overall Survival,Topic
434,Phase 1 Trial,Topic
434,Phase 3 Trial,Topic
434,Futility Interim Analysis,Topic
434,Intermediate Endpoint,Topic
434,Acute Myeloid Leukemia,Topic
434,Kaspar Rufibach,Author
434,Dominik Heinzmann,Author
434,Annabelle Monnet,Author
435,Power Contours: Optimising Sample Size And Precision In Experimental Psychology And Human Neuroscience,Paper
435,Daniel H. Baker,Author
435,Greta Vilidaite,Author
435,Freya A. Lygo,Author
435,Anika K. Smith,Author
435,Tessa R. Flack,Author
435,Andre D. Gouws,Author
435,Timothy J. Andrews,Author
435,Statistical Power,Topic
435,Experimental Studies,Topic
435,Human Participants,Topic
435,Variance,Topic
435,Power Contour Plots,Topic
435,Online Tool,Topic
436,Time-Frequency Analysis,Topic
436,Brain Rhythms,Topic
436,Event-Related Protocols,Topic
436,Avgamp,Topic
436,Itc,Topic
436,Powavg,Topic
436,Jonas Benhamou,Author
436,Michel Le Van Quyen,Author
436,Guillaume Marrelec,Author
436,Relationship Between Powavg And Itc,Topic
436,S-Transform,Topic
436,Oscillatory Signal,Topic
436,Neuroscientific Toolbox,Topic
437,Covid-19 Pandemic,Topic
437,Long Covid,Topic
437,Immune Dysregulation,Topic
437,Post-Covid-19 Patients,Topic
437,2022,Topic
437,2023,Topic
437,Machine Learning Techniques,Topic
437,Immunophenotyping,Topic
437,Clinical Information,Topic
437,Immunological Information,Topic
437,Demographic Information,Topic
437,Persistent Inflammation,Topic
437,Altered Cytokine Profiles,Topic
437,Abnormal Immune Cell Subsets,Topic
437,Personalized Interventions,Topic
437,Targeted Therapies,Topic
437,Clinical Management,Topic
437,Maitham G. Yousif,Author
437,Ghizal Fatima,Author
437,Hector J. Castro,Author
437,Fadhil G. Al-Amran,Author
437,Salman Rawaf,Author
