docid,entityid,type
87,Sonja Schmer Galunder,Author
87,Graphrag,Topic
87,English,Topic
87,Afrikaans,Topic
88,Exploring The Role Of Knowledge Graph-Based Rag In Japanese Medical Question Answering With Small-Scale Llms,Paper
88,Yingjian Chen,Author
88,Feiyang Li,Author
88,Xingyu Song,Author
88,Tianxiao Li,Author
88,Issey Sukeda,Author
88,Irene Li,Author
88,Large Language Models,Topic
88,Japanese Medical Qa,Topic
88,Retrieval-Augmented Generation,Topic
88,Knowledge Graph,Topic
88,Open-Source Llms,Topic
88,Small-Scale Llms,Topic
89,Knowledge Graph Based Retrieval-Augmented Generation (Kg-Rag),Topic
89,Large Language Model (Llm),Topic
89,Question Answering (Qa),Topic
89,Knowledge Graphs (Kgs),Topic
89,Dongzhuoran Zhou,Author
89,Yuqicheng Zhu,Author
89,Yuan He,Author
89,Jiaoyan Chen,Author
89,Evgeny Kharlamov,Author
89,Steffen Staab,Author
89,Evaluating Knowledge Graph Based Retrieval Augmented Generation Methods Under Knowledge Incompleteness,Paper
90,Knowledge Augmented Generation (Kag),Topic
90,Retrieval-Augmented Generation (Rag),Topic
90,Ant Group,Topic
90,E-Government Q&A,Topic
90,E-Health Q&A,Topic
90,Lei Liang,Author
90,Mengshu Sun,Author
90,Zhengke Gui,Author
90,Zhongshu Zhu,Author
90,Zhouyu Jiang,Author
90,Ling Zhong,Author
90,Yuan Qu,Author
90,Peilong Zhao,Author
90,Zhongpu Bo,Author
90,Jin Yang,Author
90,Huaidong Xiong,Author
90,Lin Yuan,Author
90,Jun Xu,Author
90,Zaoyang Wang,Author
90,Zhiqiang Zhang,Author
90,Wen Zhang,Author
90,Huajun Chen,Author
90,Wenguang Chen,Author
90,Jun Zhou,Author
91,Graphinsight,Topic
91,Large Language Models,Topic
91,Yukun Cao,Author
91,Shuo Han,Author
91,Zengyi Gao,Author
91,Zezhong Ding,Author
91,Xike Xie,Author
91,S. Kevin Zhou,Author
92,Knowledge Graph Construction,Topic
92,Graphjudger,Paper
92,Haoyu Huang,Author
92,Chong Chen,Author
92,Conghui He,Author
92,Yang Li,Author
92,Jiawei Jiang,Author
92,Wentao Zhang,Author
92,Large Language Models,Topic
92,Graphrag Systems,Topic
92,Recommendation Systems,Topic
92,Entity-Centric Iterative Text Denoising,Topic
92,Knowledge Aware Instruction Tuning,Topic
92,Graph Judgement,Topic
92,Domain-Specific Documents,Topic
92,Hallucinations Phenomenon,Topic
92,General Text-Graph Pair Datasets,Topic
92,Domain-Specific Text-Graph Pair Dataset,Topic
93,Large Language Models,Topic
93,Retrieval-Augmented Generation (Rag) Framework,Topic
93,Knowledge Graphs,Topic
93,Multi-Objective Multi-Armed Bandit Enhanced Rag Framework,Topic
93,Xiaqiang Tang,Author
93,Jian Li,Author
93,Nan Du,Author
93,Sihong Xie,Author
93,Https://Github.Com/Futureeeeee/Dynamic-Rag.Git,Paper
94,Large Language Models,Topic
94,Graph Neural Networks,Topic
94,Retrieval-Augmented Generation,Topic
94,Jintang Li,Author
94,Ruofan Wu,Author
94,Yuchang Zhu,Author
94,Huizhe Zhang,Author
94,Liang Chen,Author
94,Zibin Zheng,Author
94,Are Large Language Models In-Context Graph Learners?,Paper
95,Causal Analysis Of Tweets Dataset,Topic
95,Knowledge Graphs,Topic
95,Large Language Models,Topic
95,Retrieval-Augmented Generation,Topic
95,Gpt-3.5 Turbo,Topic
95,Rahul Ravi,Author
95,Gouri Ginde,Author
95,Jon Rokne,Author
95,Pragyan,Topic
95,Neo4J,Topic
95,Improved Interpretability,Topic
95,Actionable Insights,Topic
95,Informed Decision-Making,Topic
95,Quantitative Analysis,Topic
95,Bleu,Topic
95,Cosine Similarity,Topic
96,Agentic Generative Ai,Topic
96,Large Language Models,Topic
96,Retrieval-Augmented Generation,Topic
96,Knowledge Graphs,Topic
96,Vector Stores,Topic
96,Legal Systems,Topic
96,Research,Topic
96,Recommender Systems,Topic
96,Cybersecurity,Topic
96,Global Security,Topic
96,Proliferation Research,Topic
96,Legal Domain,Topic
96,Complex Data,Topic
96,Legal Documents,Topic
96,Ryan C. Barron,Author
96,Maksim E. Eren,Author
96,Olga M. Serafimova,Author
96,Cynthia Matuszek,Author
96,Boian S. Alexandrov,Author
96,Non-Negative Matrix Factorization,Topic
96,Ai Agents,Topic
96,Legal Trends,Topic
96,Justia,Topic
96,Computational Law,Topic
96,Ai,Topic
97,Hykge,Topic
97,Large Language Models,Topic
97,Knowledge Graphs,Topic
97,Xinke Jiang,Author
97,Ruizhe Zhang,Author
97,Yongxin Xu,Author
97,Rihong Qiu,Author
97,Yue Fang,Author
97,Zhiyuan Wang,Author
97,Jinyi Tang,Author
97,Hongxin Ding,Author
97,Xu Chu,Author
97,Junfeng Zhao,Author
97,Yasha Wang,Author
98,Learning To Retrieve And Reason On Knowledge Graph Through Active Self-Reflection,Paper
98,Han Zhang,Author
98,Langshi Zhou,Author
98,Hanfang Yang,Author
98,Active Self-Reflection Framework For Knowledge Graph Reasoning Arg,Topic
98,Large Language Models (Llms),Topic
98,Knowledge Graphs,Topic
98,Reasoning Process,Topic
98,Iterative Reasoning,Topic
98,Structured Graphs,Topic
98,Knowledge Retrieval,Topic
98,Reflective Critique,Topic
98,Reasoning Paths,Topic
98,Interpretability,Topic
98,Knowledge Graph Reasoning Tasks,Topic
99,Graph-Based Retrieval-Augmented Generation (Rag) Methods,Topic
99,Hirag,Topic
99,Haoyu Huang,Author
99,Yongfeng Huang,Author
99,Junjie Yang,Author
99,Zhenyu Pan,Author
99,Yongqiang Chen,Author
99,Kaili Ma,Author
99,Hongzhi Chen,Author
99,James Cheng,Author
99,Retrieval-Augmented Generation With Hierarchical Knowledge,Paper
