docid,title,summary,url,authors
89,Large-scale Virtual Clinical Trials of Closed-loop Treatments for People with Type 1 Diabetes,"We propose a virtual clinical trial for assessing the safety and efficacy of
closed-loop diabetes treatments prior to an actual clinical trial. Such virtual
trials enable rapid and risk-free pretrial testing of algorithms, and they can
be used to compare different treatment variations for large and diverse
populations. The participants are represented by multiple mathematical models,
consisting of stochastic differential equations, and we use Monte Carlo
closed-loop simulations to compute detailed statistics of the closed-loop
treatments. We implement the virtual clinical trial using high-performance
software and hardware, and we present an example trial with two mathematical
models of one~million participants over 52~weeks (i.e., two~million
simulations), which can be completed in 2~h 9~min.",http://arxiv.org/abs/2205.01332v1,"Tobias K S Ritschel, Asbjrn Thode Reenberg, John Bagterp Jrgensen"
90,Making all pairwise comparisons in multi-arm clinical trials without control treatment,"The standard paradigm for confirmatory clinical trials is to compare
experimental treatments with a control, for example the standard of care or a
placebo. However, it is not always the case that a suitable control exists.
Efficient statistical methodology is well studied in the setting of randomised
controlled trials. This is not the case if one wishes to compare several
experimental with no control arm. We propose hypothesis testing methods
suitable for use in such a setting. These methods are efficient, ensuring the
error rate is controlled at exactly the desired rate with no conservatism. This
in turn yields an improvement in power when compared with standard methods one
might otherwise consider using, such as a Bonferroni adjustment. The proposed
testing procedure is also highly flexible. We show how it may be extended for
use in multi-stage adaptive trials, covering the majority of scenarios in which
one might consider the use of such procedures in the clinical trials setting.
With such a highly flexible nature, these methods may also be applied more
broadly outside of a clinical trials setting.",http://arxiv.org/abs/2410.20908v1,"Thomas Burnett, Thomas Jaki"
91,A computational hierarchy in human cortex,"Hierarchies feature prominently in anatomical accounts of cortical
organisation. An open question is which computational (algorithmic) processes
are implemented by these hierarchies. One renowned hypothesis is that cortical
hierarchies implement a model of the world's causal structure and serve to
infer environmental states from sensory inputs. This view, which casts
perception as hierarchical Bayesian inference, has become a highly influential
concept in both basic and clinical neuroscience. So far, however, a direct
correspondence between the predicted order of hierarchical Bayesian
computations and the sequence of evoked neuronal activity has not been
demonstrated. Here, we present evidence for this correspondence from
neuroimaging and electrophysiological data in healthy volunteers. Trial-wise
sequences of hierarchical computations were inferred from participants'
behaviour during a social learning task that required multi-level inference
about intentions. We found that the temporal sequence of neuronal activity
matched the order of computations as predicted by the theory. These findings
provide strong evidence for the operation of hierarchical Bayesian inference in
human cortex. Furthermore, our approach offers a novel strategy for the
combined computational-physiological phenotyping of patients with disorders of
perception, such as schizophrenia or autism.",http://arxiv.org/abs/1709.02323v1,"Andreea O Diaconescu, Vladimir Litvak, Christoph Mathys, Lars Kasper, Karl J Friston, Klaas E Stephan"
92,Bayesian deep neural networks for low-cost neurophysiological markers of Alzheimer's disease severity,"As societies around the world are ageing, the number of Alzheimer's disease
(AD) patients is rapidly increasing. To date, no low-cost, non-invasive
biomarkers have been established to advance the objectivization of AD diagnosis
and progression assessment. Here, we utilize Bayesian neural networks to
develop a multivariate predictor for AD severity using a wide range of
quantitative EEG (QEEG) markers. The Bayesian treatment of neural networks both
automatically controls model complexity and provides a predictive distribution
over the target function, giving uncertainty bounds for our regression task. It
is therefore well suited to clinical neuroscience, where data sets are
typically sparse and practitioners require a precise assessment of the
predictive uncertainty. We use data of one of the largest prospective AD EEG
trials ever conducted to demonstrate the potential of Bayesian deep learning in
this domain, while comparing two distinct Bayesian neural network approaches,
i.e., Monte Carlo dropout and Hamiltonian Monte Carlo.",http://arxiv.org/abs/1812.04994v2,"Wolfgang Fruehwirt, Adam D Cobb, Martin Mairhofer, Leonard Weydemann, Heinrich Garn, Reinhold Schmidt, Thomas Benke, Peter DalBianco, Gerhard Ransmayr, Markus Waser, Dieter Grossegger, Pengfei Zhang, Georg Dorffner, Stephen Roberts"
93,Selection Induced Contrast Estimate (SICE) Effect: An Attempt to Quantify the Impact of Some Patient Selection Criteria in Randomized Clinical Trials,"Defining the Inclusion/Exclusion (I/E) criteria of a trial is one of the most
important steps during a trial design. Increasingly complex I/E criteria
potentially create information imbalance and transparency issues between the
people who design and run the trials and those who consume the information
produced by the trials. In order to better understand and quantify the impact
of a category of I/E criteria on observed treatment effects, a concept, named
the Selection Induced Contrast Estimate (SICE) effect, is introduced and
formulated in this paper. The SICE effect can exist in controlled clinical
trials when treatment affects the correlation between a marker used for
selection and the response of interest. This effect is demonstrated with both
simulations and real clinical trial data. Although the statistical elements
behind the SICE effect have been well studied, explicitly formulating and
studying this effect can benefit several areas, including better transparency
in I/E criteria, meta-analysis of multiple clinical trials, treatment effect
interpretation in real-world medical practice, etc.",http://arxiv.org/abs/2001.02036v1,"Junshui Ma, Daniel J Holder"
94,Data monitoring committees for clinical trials evaluating treatments of COVID-19,"The first cases of coronavirus disease 2019 (COVID-19) were reported in
December 2019 and the outbreak of SARS-CoV-2 was declared a pandemic in March
2020 by the World Health Organization. This sparked a plethora of
investigations into diagnostics and vaccination for SARS-CoV-2, as well as
treatments for COVID-19. Since COVID-19 is a severe disease associated with a
high mortality, clinical trials in this disease should be monitored by a data
monitoring committee (DMC), also known as data safety monitoring board (DSMB).
DMCs in this indication face a number of challenges including fast recruitment
requiring an unusually high frequency of safety reviews, more frequent use of
complex designs and virtually no prior experience with the disease. In this
paper, we provide a perspective on the work of DMCs for clinical trials of
treatments for COVID-19. More specifically, we discuss organizational aspects
of setting up and running DMCs for COVID-19 trials, in particular for trials
with more complex designs such as platform trials or adaptive designs.
Furthermore, statistical aspects of monitoring clinical trials of treatments
for COVID-19 are considered. Some recommendations are made regarding the
presentation of the data, stopping rules for safety monitoring and the use of
external data. The proposed stopping boundaries are assessed in a simulation
study motivated by clinical trials in COVID-19.",http://arxiv.org/abs/2008.10992v1,"Tobias Mtze, Tim Friede"
95,Coping with Information Loss and the Use of Auxiliary Sources of Data: A Report from the NISS Ingram Olkin Forum Series on Unplanned Clinical Trial Disruptions,"Clinical trials disruption has always represented a non negligible part of
the ending of interventional studies. While the SARS-CoV-2 (COVID-19) pandemic
has led to an impressive and unprecedented initiation of clinical research, it
has also led to considerable disruption of clinical trials in other disease
areas, with around 80% of non-COVID-19 trials stopped or interrupted during the
pandemic. In many cases the disrupted trials will not have the planned
statistical power necessary to yield interpretable results. This paper
describes methods to compensate for the information loss arising from trial
disruptions by incorporating additional information available from auxiliary
data sources. The methods described include the use of auxiliary data on
baseline and early outcome data available from the trial itself and frequentist
and Bayesian approaches for the incorporation of information from external data
sources. The methods are illustrated by application to the analysis of
artificial data based on the Primary care pediatrics Learning Activity
Nutrition (PLAN) study, a clinical trial assessing a diet and exercise
intervention for overweight children, that was affected by the COVID-19
pandemic. We show how all of the methods proposed lead to an increase in
precision relative to use of complete case data only.",http://arxiv.org/abs/2206.11238v1,"Silvia Calderazzo, Sergey Tarima, Carissa Reid, Nancy Flournoy, Tim Friede, Nancy Geller, James L Rosenberger, Nigel Stallard, Moreno Ursino, Marc Vandemeulebroecke, Kelly Van Lancker, Sarah Zohar"
96,Recent advances in methodology for clinical trials in small populations: the InSPiRe project,"Where there are a limited number of patients, such as in a rare disease,
clinical trials in these small populations present several challenges,
including statistical issues. This led to an EU FP7 call for proposals in 2013.
One of the three projects funded was the Innovative Methodology for Small
Populations Research (InSPiRe) project. This paper summarizes the main results
of the project, which was completed in 2017. The InSPiRe project has led to
development of novel statistical methodology for clinical trials in small
populations in four areas. We have explored new decision-making methods for
small population clinical trials using a Bayesian decision-theoretic framework
to compare costs with potential benefits, developed approaches for targeted
treatment trials, enabling simultaneous identification of subgroups and
confirmation of treatment effect for these patients, worked on early phase
clinical trial design and on extrapolation from adult to pediatric studies,
developing methods to enable use of pharmacokinetics and pharmacodynamics data,
and also developed improved robust meta-analysis methods for a small number of
trials to support the planning, analysis and interpretation of a trial as well
as enabling extrapolation between patient groups. In addition to scientific
publications, we have contributed to regulatory guidance and produced free
software in order to facilitate implementation of the novel methods.",http://arxiv.org/abs/1811.02504v1,"T Friede, M Posch, S Zohar, C Alberti, N Benda, E Comets, S Day, A Dmitrenko, A Graf, B K Gnhan, S W Hee, F Lentz, J Madan, F Miller, T Ondra, M Pearce, C Rver, A Tournazi, S Unkel, M Ursino, G Wassmer, N Stallard"
97,Oncology clinical trial design planning based on a multistate model that jointly models progression-free and overall survival endpoints,"When planning an oncology clinical trial, the usual approach is to assume
proportional hazards and even an exponential distribution for time-to-event
endpoints. Often, besides the gold-standard endpoint overall survival (OS),
progression-free survival (PFS) is considered as a second confirmatory
endpoint. We use a survival multistate model to jointly model these two
endpoints and find that neither exponential distribution nor proportional
hazards will typically hold for both endpoints simultaneously. The multistate
model provides a stochastic process approach to model the dependency of such
endpoints neither requiring latent failure times nor explicit dependency
modelling such as copulae. We use the multistate model framework to simulate
clinical trials with endpoints OS and PFS and show how design planning
questions can be answered using this approach. In particular, non-proportional
hazards for at least one of the endpoints are naturally modelled as well as
their dependency to improve planning. We consider an oncology trial on
non-small-cell lung cancer as a motivating example from which we derive
relevant trial design questions. We then illustrate how clinical trial design
can be based on simulations from a multistate model. Key applications are
co-primary endpoints and group-sequential designs. Simulations for these
applications show that the standard simplifying approach may very well lead to
underpowered or overpowered clinical trials. Our approach is quite general and
can be extended to more complex trial designs, further endpoints, and other
therapeutic areas. An R package is available on CRAN.",http://arxiv.org/abs/2301.10059v2,"Alexandra Erdmann, Jan Beyersmann, Kaspar Rufibach"
98,A Contextual-bandit-based Approach for Informed Decision-making in Clinical Trials,"Clinical trials involving multiple treatments utilize randomization of the
treatment assignments to enable the evaluation of treatment efficacies in an
unbiased manner. Such evaluation is performed in post hoc studies that usually
use supervised-learning methods that rely on large amounts of data collected in
a randomized fashion. That approach often proves to be suboptimal in that some
participants may suffer and even die as a result of having not received the
most appropriate treatments during the trial. Reinforcement-learning methods
improve the situation by making it possible to learn the treatment efficacies
dynamically during the course of the trial, and to adapt treatment assignments
accordingly. Recent efforts using \textit{multi-arm bandits}, a type of
reinforcement-learning methods, have focused on maximizing clinical outcomes
for a population that was assumed to be homogeneous. However, those approaches
have failed to account for the variability among participants that is becoming
increasingly evident as a result of recent clinical-trial-based studies. We
present a contextual-bandit-based online treatment optimization algorithm that,
in choosing treatments for new participants in the study, takes into account
not only the maximization of the clinical outcomes but also the patient
characteristics. We evaluated our algorithm using a real clinical trial dataset
from the International Stroke Trial. The results of our retrospective analysis
indicate that the proposed approach performs significantly better than either a
random assignment of treatments (the current gold standard) or a
multi-arm-bandit-based approach, providing substantial gains in the percentage
of participants who are assigned the most suitable treatments. The
contextual-bandit and multi-arm bandit approaches provide 72.63% and 64.34%
gains, respectively, compared to a random assignment.",http://arxiv.org/abs/1809.00258v1,"Yogatheesan Varatharajah, Brent Berry, Sanmi Koyejo, Ravishankar Iyer"
99,Contextual Constrained Learning for Dose-Finding Clinical Trials,"Clinical trials in the medical domain are constrained by budgets. The number
of patients that can be recruited is therefore limited. When a patient
population is heterogeneous, this creates difficulties in learning subgroup
specific responses to a particular drug and especially for a variety of
dosages. In addition, patient recruitment can be difficult by the fact that
clinical trials do not aim to provide a benefit to any given patient in the
trial. In this paper, we propose C3T-Budget, a contextual constrained clinical
trial algorithm for dose-finding under both budget and safety constraints. The
algorithm aims to maximize drug efficacy within the clinical trial while also
learning about the drug being tested. C3T-Budget recruits patients with
consideration of the remaining budget, the remaining time, and the
characteristics of each group, such as the population distribution, estimated
expected efficacy, and estimation credibility. In addition, the algorithm aims
to avoid unsafe dosages. These characteristics are further illustrated in a
simulated clinical trial study, which corroborates the theoretical analysis and
demonstrates an efficient budget usage as well as a balanced learning-treatment
trade-off.",http://arxiv.org/abs/2001.02463v2,"HyunSuk Lee, Cong Shen, James Jordon, Mihaela van der Schaar"
100,Improving efficiency of inference in clinical trials with external control data,"Suppose we are interested in the effect of a treatment in a clinical trial.
The efficiency of inference may be limited due to small sample size. However,
external control data are often available from historical studies. Motivated by
an application to Helicobacter pylori infection, we show how to borrow strength
from such data to improve efficiency of inference in the clinical trial. Under
an exchangeability assumption about the potential outcome mean, we show that
the semiparametric efficiency bound for estimating the average treatment effect
can be reduced by incorporating both the clinical trial data and external
controls. We then derive a doubly robust and locally efficient estimator. The
improvement in efficiency is prominent especially when the external control
dataset has a large sample size and small variability. Our method allows for a
relaxed overlap assumption, and we illustrate with the case where the clinical
trial only contains a treated group. We also develop doubly robust and locally
efficient approaches that extrapolate the causal effect in the clinical trial
to the external population and the overall population. Our results also offer a
meaningful implication for trial design and data collection. We evaluate the
finite-sample performance of the proposed estimators via simulation. In the
Helicobacter pylori infection application, our approach shows that the
combination treatment has potential efficacy advantages over the triple
therapy.",http://arxiv.org/abs/2011.07234v2,"Xinyu Li, Wang Miao, Fang Lu, XiaoHua Zhou"
101,Applying the Estimand and Target Trial frameworks to external control analyses using observational data: a case study in the solid tumor setting,"In causal inference, the correct formulation of the scientific question of
interest is a crucial step. Here we apply the estimand framework to a
comparison of the outcomes of patient-level clinical trials and observational
data to help structure the clinical question. In addition, we complement the
estimand framework with the target trial framework to address specific issues
in defining the estimand attributes using observational data and discuss
synergies and differences of the two frameworks. Whereas the estimand framework
proves useful to address the challenge that in clinical trials and routine
clinical practice patients may switch to subsequent systemic therapies after
the initially assigned systematic treatment, the target trial framework
supports addressing challenges around baseline confounding and the index date.
We apply the combined framework to compare long-term outcomes of a pooled set
of three previously reported randomized phase 3 trials studying patients with
metastatic non-small cell lung cancer receiving front-line chemotherapy
(randomized clinical trial cohort) and similar patients treated with front-line
chemotherapy as part of routine clinical care (observational comparative
cohort). We illustrate the process to define the estimand attributes and select
the estimator to estimate the estimand of interest while accounting for key
baseline confounders, index date, and receipt of subsequent therapies. The
proposed combined framework provides more clarity on the causal contrast of
interest and the estimator to adopt and thus facilitates design and
interpretation of the analyses.",http://arxiv.org/abs/2208.06707v1,"Letizia Polito, Qixing Liang, Navdeep Pal, Philani Mpofu, Ahmed Sawas, Olivier Humblet, Kaspar Rufibach, Dominik Heinzmann"
102,Scaling Clinical Trial Matching Using Large Language Models: A Case Study in Oncology,"Clinical trial matching is a key process in health delivery and discovery. In
practice, it is plagued by overwhelming unstructured data and unscalable manual
processing. In this paper, we conduct a systematic study on scaling clinical
trial matching using large language models (LLMs), with oncology as the focus
area. Our study is grounded in a clinical trial matching system currently in
test deployment at a large U.S. health network. Initial findings are promising:
out of box, cutting-edge LLMs, such as GPT-4, can already structure elaborate
eligibility criteria of clinical trials and extract complex matching logic
(e.g., nested AND/OR/NOT). While still far from perfect, LLMs substantially
outperform prior strong baselines and may serve as a preliminary solution to
help triage patient-trial candidates with humans in the loop. Our study also
reveals a few significant growth areas for applying LLMs to end-to-end clinical
trial matching, such as context limitation and accuracy, especially in
structuring patient information from longitudinal medical records.",http://arxiv.org/abs/2308.02180v3,"Cliff Wong, Sheng Zhang, Yu Gu, Christine Moung, Jacob Abel, Naoto Usuyama, Roshanthi Weerasinghe, Brian Piening, Tristan Naumann, Carlo Bifulco, Hoifung Poon"
103,Negative Spillover: A Potential Source of Bias in Pragmatic Clinical Trials,"Pragmatic clinical trials evaluate the effectiveness of health interventions
in real-world settings. Negative spillover can arise in a pragmatic trial if
the study intervention affects how scarce resources are allocated between
patients in the intervention and comparison groups. This can harm patients
assigned to the control group and lead to overestimation of treatment effect.
While this type of negative spillover is often addressed in trials of social
welfare and public health interventions, there is little recognition of this
source of bias in the medical literature. In this article, I examine what
causes negative spillover and how it may have led clinical trial investigators
to overestimate the effect of patient navigation, AI-based physiological
alarms, and elective induction of labor. I also suggest ways to detect negative
spillover and design trials that avoid this potential source of bias.",http://arxiv.org/abs/2309.10978v4,Sean Mann
104,Incorporating external data for analyzing randomized clinical trials: A transfer learning approach,"Randomized clinical trials are the gold standard for analyzing treatment
effects, but high costs and ethical concerns can limit recruitment, potentially
leading to invalid inferences. Incorporating external trial data with similar
characteristics into the analysis using transfer learning appears promising for
addressing these issues. In this paper, we present a formal framework for
applying transfer learning to the analysis of clinical trials, considering
three key perspectives: transfer algorithm, theoretical foundation, and
inference method. For the algorithm, we adopt a parameter-based transfer
learning approach to enhance the lasso-adjusted stratum-specific estimator
developed for estimating treatment effects. A key component in constructing the
transfer learning estimator is deriving the regression coefficient estimates
within each stratum, accounting for the bias between source and target data. To
provide a theoretical foundation, we derive the $l_1$ convergence rate for the
estimated regression coefficients and establish the asymptotic normality of the
transfer learning estimator. Our results show that when external trial data
resembles current trial data, the sample size requirements can be reduced
compared to using only the current trial data. Finally, we propose a consistent
nonparametric variance estimator to facilitate inference. Numerical studies
demonstrate the effectiveness and robustness of our proposed estimator across
various scenarios.",http://arxiv.org/abs/2409.04126v1,"Yujia Gu, Hanzhong Liu, Wei Ma"
105,Enhancing Clinical Trial Patient Matching through Knowledge Augmentation and Reasoning with Multi-Agents,"Matching patients effectively and efficiently for clinical trials is a
significant challenge due to the complexity and variability of patient profiles
and trial criteria. This paper introduces Multi-Agents for Knowledge
Augmentation and Reasoning (MAKAR), a novel framework that enhances
patient-trial matching by integrating domain-specific knowledge with structured
reasoning. MAKAR consists of two key modules: the Augmentation Module and the
Reasoning Module. The Augmentation Module enriches trial criteria by
incorporating detailed explanations of relevant concepts to ensure clarity and
completeness. The Reasoning Module then evaluates each health condition,
following a structured, step-wise approach to determine eligibility and make
the final matching decision. This paper enhances patient-trial matching by
leveraging the agency and reasoning capabilities of large language models
(LLMs) through automated agent interactions, including collaboration, critique,
and navigation. Experimental results on a public dataset demonstrate that our
framework surpasses existing benchmarks, achieving up to an 8% improvement in
accuracy for specific criteria. Furthermore, in a real-world offline test,
MAKAR achieved a 100% accuracy. These findings show MAKAR's potential as a
scalable and robust solution for clinical trial patient matching.",http://arxiv.org/abs/2411.14637v2,"Hanwen Shi, Jin Zhang, Kunpeng Zhang"
106,A Conservative Approach to Leveraging External Evidence for Effective Clinical Trial Design,"Prior probabilities of clinical hypotheses are not systematically used for
clinical trial design yet, due to a concern that poor priors may lead to poor
decisions. To address this concern, a conservative approach to Bayesian trial
design is illustrated here, requiring that the operational characteristics of
the primary trial outcome are stronger than the prior. This approach is
complementary to current Bayesian design methods, in that it insures against
prior-data conflict by defining a sample size commensurate to a discrete design
prior. This approach is ethical, in that it requires designs appropriate to
achieving pre-specified levels of clinical equipoise imbalance. Practical
examples are discussed, illustrating design of trials with binary or time to
event endpoints. Moderate increases in phase II study sample size are shown to
deliver strong levels of overall evidence for go/no-go clinical development
decisions. Levels of negative evidence provided by group sequential
confirmatory designs are found negligible, highlighting the importance of
complementing efficacy boundaries with non-binding futility criteria.",http://arxiv.org/abs/2211.02381v4,Fabio Rigat
107,"Leveraging Historical Data for High-Dimensional Regression Adjustment, a Composite Covariate Approach","The amount of data collected from patients involved in clinical trials is
continuously growing. All patient characteristics are potential covariates that
could be used to improve clinical trial analysis and power. However, the
restricted number of patients in phases I and II studies limits the possible
number of covariates included in the analyses. In this paper, we investigate
the cost/benefit ratio of including covariates in the analysis of clinical
trials. Within this context, we address the long-running question ""What is the
optimum number of covariates to include in a clinical trial?"" To further
improve the cost/benefit ratio of covariates, historical data can be leveraged
to pre-specify the covariate weights, which can be viewed as the definition of
a new composite covariate. We analyze the use of a composite covariate while
estimating the treatment effect in small clinical trials. A composite covariate
limits the loss of degrees of freedom and the risk of overfitting.",http://arxiv.org/abs/2103.14421v1,"Samuel Branders, Alvaro Pereira, Guillaume Bernard, Marie Ernst, Adelin Albert"
108,Utilizing ChatGPT to Enhance Clinical Trial Enrollment,"Clinical trials are a critical component of evaluating the effectiveness of
new medical interventions and driving advancements in medical research.
Therefore, timely enrollment of patients is crucial to prevent delays or
premature termination of trials. In this context, Electronic Health Records
(EHRs) have emerged as a valuable tool for identifying and enrolling eligible
participants. In this study, we propose an automated approach that leverages
ChatGPT, a large language model, to extract patient-related information from
unstructured clinical notes and generate search queries for retrieving
potentially eligible clinical trials. Our empirical evaluation, conducted on
two benchmark retrieval collections, shows improved retrieval performance
compared to existing approaches when several general-purposed and task-specific
prompts are used. Notably, ChatGPT-generated queries also outperform
human-generated queries in terms of retrieval performance. These findings
highlight the potential use of ChatGPT to enhance clinical trial enrollment
while ensuring the quality of medical service and minimizing direct risks to
patients.",http://arxiv.org/abs/2306.02077v1,"Georgios Peikos, Symeon Symeonidis, Pranav Kasela, Gabriella Pasi"
109,Multivariate Rank-Based Analysis of Multiple Endpoints in Clinical Trials: A Global Test Approach,"Clinical trials often involve the assessment of multiple endpoints to
comprehensively evaluate the efficacy and safety of interventions. In the work,
we consider a global nonparametric testing procedure based on multivariate rank
for the analysis of multiple endpoints in clinical trials. Unlike other
existing approaches that rely on pairwise comparisons for each individual
endpoint, the proposed method directly incorporates the multivariate ranks of
the observations. By considering the joint ranking of all endpoints, the
proposed approach provides robustness against diverse data distributions and
censoring mechanisms commonly encountered in clinical trials. Through extensive
simulations, we demonstrate the superior performance of the multivariate
rank-based approach in controlling type I error and achieving higher power
compared to existing rank-based methods. The simulations illustrate the
advantages of leveraging multivariate ranks and highlight the robustness of the
approach in various settings. The proposed method offers an effective tool for
the analysis of multiple endpoints in clinical trials, enhancing the
reliability and efficiency of outcome evaluations.",http://arxiv.org/abs/2306.15380v2,"Kexuan Li, Lingli Yang, Shaofei Zhao, Susie Sinks, Luan Lin, Peng Sun"
110,Team IELAB at TREC Clinical Trial Track 2023: Enhancing Clinical Trial Retrieval with Neural Rankers and Large Language Models,"We describe team ielab from CSIRO and The University of Queensland's approach
to the 2023 TREC Clinical Trials Track. Our approach was to use neural rankers
but to utilise Large Language Models to overcome the issue of lack of training
data for such rankers. Specifically, we employ ChatGPT to generate relevant
patient descriptions for randomly selected clinical trials from the corpus.
This synthetic dataset, combined with human-annotated training data from
previous years, is used to train both dense and sparse retrievers based on
PubmedBERT. Additionally, a cross-encoder re-ranker is integrated into the
system. To further enhance the effectiveness of our approach, we prompting
GPT-4 as a TREC annotator to provide judgments on our run files. These
judgments are subsequently employed to re-rank the results. This architecture
tightly integrates strong PubmedBERT-based rankers with the aid of SOTA Large
Language Models, demonstrating a new approach to clinical trial retrieval.",http://arxiv.org/abs/2401.01566v1,"Shengyao Zhuang, Bevan Koopman, Guido Zuccon"
111,Using Large Language Models to Generate Clinical Trial Tables and Figures,"Tables, figures, and listings (TFLs) are essential tools for summarizing
clinical trial data. Creation of TFLs for reporting activities is often a
time-consuming task encountered routinely during the execution of clinical
trials. This study explored the use of large language models (LLMs) to automate
the generation of TFLs through prompt engineering and few-shot transfer
learning. Using public clinical trial data in ADaM format, our results
demonstrated that LLMs can efficiently generate TFLs with prompt instructions,
showcasing their potential in this domain. Furthermore, we developed a
conservational agent named Clinical Trial TFL Generation Agent: An app that
matches user queries to predefined prompts that produce customized programs to
generate specific predefined TFLs.",http://arxiv.org/abs/2409.12046v2,"Yumeng Yang, Peter Krusche, Kristyn Pantoja, Cheng Shi, Ethan Ludmir, Kirk Roberts, Gen Zhu"
112,Centrality in Collaboration: A Novel Algorithm for Social Partitioning Gradients in Community Detection for Multiple Oncology Clinical Trial Enrollments,"Patients at a comprehensive cancer center who do not achieve cure or
remission following standard treatments often become candidates for clinical
trials. Patients who participate in a clinical trial may be suitable for other
studies. A key factor influencing patient enrollment in subsequent clinical
trials is the structured collaboration between oncologists and most responsible
physicians. Possible identification of these collaboration networks can be
achieved through the analysis of patient movements between clinical trial
intervention types with social network analysis and community detection
algorithms. In the detection of oncologist working groups, the present study
evaluates three community detection algorithms: Girvan-Newman, Louvain and an
algorithm developed by the author. Girvan-Newman identifies each intervention
as their own community, while Louvain groups interventions in a manner that is
difficult to interpret. In contrast, the author's algorithm groups
interventions in a way that is both intuitive and informative, with a gradient
evident in social partitioning that is particularly useful for epidemiological
research. This lays the groundwork for future subgroup analysis of clustered
interventions.",http://arxiv.org/abs/2411.01394v2,"Benjamin Smith, Tyler Pittman, Wei Xu"
113,Incorporating external information in analyses of clinical trials with binary outcomes,"External information, such as prior information or expert opinions, can play
an important role in the design, analysis and interpretation of clinical
trials. However, little attention has been devoted thus far to incorporating
external information in clinical trials with binary outcomes, perhaps due to
the perception that binary outcomes can be treated as normally-distributed
outcomes by using normal approximations. In this paper we show that these two
types of clinical trials could behave differently, and that special care is
needed for the analysis of clinical trials with binary outcomes. In particular,
we first examine a simple but commonly used univariate Bayesian approach and
observe a technical flaw. We then study the full Bayesian approach using
different beta priors and a new frequentist approach based on the notion of
confidence distribution (CD). These approaches are illustrated and compared
using data from clinical studies and simulations. The full Bayesian approach is
theoretically sound, but surprisingly, under skewed prior distributions, the
estimate derived from the marginal posterior distribution may not fall between
those from the marginal prior and the likelihood of clinical trial data. This
counterintuitive phenomenon, which we call the ""discrepant posterior
phenomenon,"" does not occur in the CD approach. The CD approach is also
computationally simpler and can be applied directly to any prior distribution,
symmetric or skewed.",http://arxiv.org/abs/1304.6208v1,"Minge Xie, Regina Y Liu, C V Damaraju, William H Olson"
114,Sample size calculation based on the difference in restricted mean time lost for clinical trials with competing risks,"Computation of sample size is important when designing clinical trials. The
presence of competing risks makes the design of clinical trials with
time-to-event endpoints cumbersome. A model based on the subdistribution hazard
ratio (SHR) is commonly used for trials under competing risks. However, this
approach has some limitations related to model assumptions and clinical
interpretation. Considering such limitations, the difference in restricted mean
time lost (RMTLd) is recommended as an alternative indicator. In this paper, we
propose a sample size calculation method based on the RMTLd for the Weibull
distribution (RMTLdWeibull) for clinical trials, which considers experimental
conditions such as equal allocation, uniform accrual, uniform loss to
follow-up, and administrative censoring. Simulation results show that sample
size calculation based on the RMTLdWeibull can generally achieve a predefined
power level and maintain relative robustness. Moreover, the performance of the
sample size calculation based on the RMTLdWeibull is similar or superior to
that based on the SHR. Even if the event time does not follow the Weibull
distribution, the sample size calculation based on the RMTLdWeibull still
performs well. The results also verify the performance of the sample size
calculation method based on the RMTLdWeibull. From the perspective of the
results of this study, clinical interpretation, application conditions and
statistical performance, we recommend that when designing clinical trials in
the presence of competing risks, the RMTLd indicator be applied for sample size
calculation and subsequent effect size measurement.",http://arxiv.org/abs/2311.12293v1,"Xiang Geng, Zhaojin Li, Chengfeng Zhang, Yanjie Wang, Haoning Shen, Zhiheng Huang, Yawen Hou, Zheng Chen"
115,Simulation-based Bayesian predictive probability of success for interim monitoring of clinical trials with competing event data: two case studies,"Bayesian predictive probabilities of success (PPoS) use interim trial data to
calculate the probability of trial success. These quantities can be used to
optimize trial size or to stop for futility. In this paper, we describe a
simulation-based approach to compute the PPoS for clinical trials with
competing event data, for which no specific methodology is currently available.
The proposed procedure hinges on modelling the joint distribution of time to
event and event type by specifying Bayesian models for the cause-specific
hazards of all event types. This allows the prediction of outcome data at the
conclusion of the trial. The PPoS is obtained by numerically averaging the
probability of success evaluated at fixed parameter values over the posterior
distribution of the parameters. Our work is motivated by two randomised
clinical trials: the I-SPY COVID phase II trial for the treatment of severe
COVID-19 (NCT04488081) and the STHLM3 prostate cancer diagnostic trial
(ISRCTN84445406), both of which are characterised by competing event data. We
present different modelling alternatives for the joint distribution of time to
event and event type and show how the choice of the prior distributions can be
used to assess the PPoS under different scenarios. The role of the PPoS
analyses in the decision making process for these two trials is also discussed.",http://arxiv.org/abs/2412.15899v1,"Chiara Micoli, Alessio Crippa, Jason T Connor, ISPY COVID Consortium, Martin Eklund, Andrea Discacciati"
